f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,29.0,169.0,TY,120,975,forecast
24hr,34.0,168.0,STS,90,985,forecast
36hr,37.0,166.5,TS,85,990,forecast
48hr,41.0,167.0,EX,0,990,forecast
