f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,13.0,134.5,TS,65,998,forecast
24hr,14.5,137.0,TS,75,995,forecast
36hr,16.0,138.0,TS,75,995,forecast
48hr,18.0,139.0,TS,75,995,forecast
60hr,21.5,138.0,TS,65,998,forecast
72hr,25.0,137.0,TD,55,999,forecast
