f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,28.0,150.0,TS,75,990,forecast
24hr,29.0,152.0,TS,75,990,forecast
36hr,29.5,154.0,TS,65,995,forecast
48hr,30.5,156.0,TD,55,998,forecast
