f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,23.0,168.0,TS,75,995,forecast
24hr,25.0,167.0,TS,65,998,forecast
36hr,27.0,167.0,TS,65,998,forecast
48hr,30.0,166.0,TS,65,998,forecast
60hr,33.0,164.0,TS,65,998,forecast
72hr,36.0,164.0,TD,55,1000,forecast
