f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,19.9,108.1,TS,85,988,forecast
24hr,19.4,108.2,STS,90,985,forecast
36hr,20.0,109.3,STS,90,985,forecast
48hr,20.7,110.0,TS,85,988,forecast
60hr,21.7,110.3,TS,65,995,forecast
72hr,22.7,109.5,LPA,40,998,forecast
